iter	Logloss
0	0.575395329
1	0.494290793
2	0.4127140711
3	0.3712336587
4	0.3237063546
5	0.2775359051
6	0.2527463899
7	0.2285899465
8	0.2012997708
9	0.1841985587
10	0.1619028227
11	0.1508262675
12	0.1441693836
13	0.1289177372
14	0.1232381295
15	0.1101177834
16	0.1057264978
17	0.1012114885
18	0.09389013181
19	0.08376323438
20	0.07955576909
21	0.07323328163
22	0.0681775771
23	0.06488521089
24	0.06177851919
25	0.05869457664
26	0.0561715972
27	0.05243036075
28	0.05002484225
29	0.04837474297
30	0.04505587386
31	0.04290981473
32	0.04090994942
33	0.03880062876
34	0.03693550031
35	0.03495545035
36	0.0334250366
37	0.03307124742
38	0.03155575102
39	0.03075066257
40	0.03017369832
41	0.02932994311
42	0.02815123866
43	0.02687517567
44	0.02586693363
45	0.02451365593
46	0.02357413797
47	0.02318911504
48	0.02218785008
49	0.02142776959
50	0.02098996616
51	0.02011791188
52	0.01963320593
53	0.01933634582
54	0.01888193934
55	0.01836905242
56	0.01786079434
57	0.01727626769
58	0.0167659673
59	0.01626540045
60	0.01566848976
61	0.01532967766
62	0.01513390069
63	0.01468060525
64	0.01418484411
65	0.01410260475
66	0.01375407069
67	0.01343908511
68	0.01308123329
69	0.01292115757
70	0.01251562255
71	0.01222453647
72	0.0120557446
73	0.01175742591
74	0.01140609108
75	0.01105123533
76	0.01086843838
77	0.01060686011
78	0.01031701282
79	0.01003359704
80	0.009861682286
81	0.009640951049
82	0.009432621705
83	0.009175510797
84	0.008987779484
85	0.008763748581
86	0.008594879587
87	0.008389038455
88	0.008317884853
89	0.008130345705
90	0.007974967365
91	0.007843166337
92	0.007673763129
93	0.007540604886
94	0.007424535856
95	0.007278175768
96	0.007160309239
97	0.00703636785
98	0.006916035581
99	0.006785845733
100	0.006679878939
101	0.006570345866
102	0.006472555933
103	0.006374013466
104	0.006276648028
105	0.006166524871
106	0.00608227954
107	0.005998729026
108	0.005921948943
109	0.005834207369
110	0.005749724006
111	0.005658910424
112	0.005586776874
113	0.005509358973
114	0.005424302823
115	0.005342410432
116	0.005271904089
117	0.005202526828
118	0.005140719325
119	0.005068134315
120	0.004998466194
121	0.004945281051
122	0.004884846047
123	0.004834150276
124	0.004781277455
125	0.004725258739
126	0.004668622895
127	0.004604093388
128	0.004557013823
129	0.004504594263
130	0.00444613412
131	0.004389223768
132	0.004335301252
133	0.004294708675
134	0.004252272217
135	0.004205653385
136	0.004155909496
137	0.004112988812
138	0.004076616105
139	0.004038549088
140	0.003990866862
141	0.003955906136
142	0.003910285531
143	0.003866018851
144	0.00382190693
145	0.003779230525
146	0.00373743197
147	0.003697427667
148	0.003659153039
149	0.003620963687
150	0.00358392964
151	0.00354799878
152	0.003506040364
153	0.003472286335
154	0.003445387023
155	0.003412978873
156	0.0033814749
157	0.003350837405
158	0.003345408351
159	0.003315696282
160	0.003289123792
161	0.003260890002
162	0.003233392143
163	0.003206601494
164	0.003180573992
165	0.003155074408
166	0.003129463561
167	0.003104491088
168	0.003080128348
169	0.003055721515
170	0.00303257018
171	0.003009916944
172	0.002985568122
173	0.002963634538
174	0.002942205929
175	0.002919758342
176	0.002899026188
177	0.002878757457
178	0.00285457007
179	0.002835410472
180	0.002828232053
181	0.002809222933
182	0.002788209058
183	0.002766455809
184	0.002748591765
185	0.002728604266
186	0.002725610263
187	0.002708411095
188	0.002691145595
189	0.002674236279
190	0.002657672059
191	0.00264289419
192	0.002637088003
193	0.002622871763
194	0.002609114012
195	0.002606120864
196	0.002592828298
197	0.002577722836
198	0.002559732535
199	0.002541868125
